year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2025,90,Intra,7023742.997,2090155.61,395081.29,5743.90243902439,1500.0,,,
2025,90,Inter,3423269.552,522187.02,98115.02,2819.512195121951,800.0,,,
2025,90,Berth,831500.0,288540.0,57130.67,,,,,
2025,90,Intra,2363524.326,668706.49,0.0,1117.5521136776622,1200.0,53.75756956699729,,
2025,90,Inter,1181762.163,167176.62,0.0,558.7760645569498,600.0,26.878778190938736,,
2025,90,Berth,582050.0,201978.0,24484.57,,,,,
2025,90,Intra,1198547.134,301918.38,15561.19,,1000.0,,54.054054054054056,
2025,90,Inter,827540.27,100564.05,0.0,,500.0,,229.72972972972974,
2025,90,Berth,498900.0,173124.0,13874.59,,,,,
2025,90,Intra,940908.422,173124.0,0.0,,600.0,,,211.05527638190955
2025,90,Inter,470454.211,43281.0,0.0,,300.0,,,105.52763819095478
2025,90,Berth,291025.0,100989.0,5713.07,,,,,
2025,110,Intra,7488222.021,2554634.63,395081.29,5743.90243902439,1500.0,,,
2025,110,Inter,3655352.674,638228.59,98115.02,2819.512195121951,800.0,,,
2025,110,Berth,831500.0,352660.0,57130.67,,,,,
2025,110,Intra,2483775.333,423192.0,0.0,0.0,1200.0,1008.3333333333334,,
2025,110,Inter,1241887.667,105798.0,0.0,5.921836462930958e-11,600.0,504.16666666661604,,
2025,110,Berth,582050.0,246862.0,24484.57,,,,,
2025,110,Intra,1265640.107,369011.35,15561.19,,1000.0,,54.054054054054056,
2025,110,Inter,872235.405,122911.62,0.0,,500.0,,229.72972972972974,
2025,110,Berth,498900.0,211596.0,13874.59,,,,,
2025,110,Intra,979380.422,211596.0,0.0,,600.0,,,211.05527638190955
2025,110,Inter,489690.211,52899.0,0.0,,300.0,,,105.52763819095478
2025,110,Berth,291025.0,123431.0,5713.07,,,,,
2025,130,Intra,7952701.046,3019113.66,395081.29,5743.90243902439,1500.0,,,
2025,130,Inter,3887435.796,754270.15,98115.02,2819.512195121951,800.0,,,
2025,130,Berth,831500.0,416780.0,57130.67,,,,,
2025,130,Intra,2560719.333,500136.0,0.0,2.4877576265680545e-07,1200.0,1008.3333331208373,,
2025,130,Inter,1280359.667,125034.0,0.0,0.0,600.0,504.1666666666667,,
2025,130,Berth,582050.0,291746.0,24484.57,,,,,
2025,130,Intra,1332733.08,436104.32,15561.19,,1000.0,,54.054054054054056,
2025,130,Inter,916930.541,145259.19,0.0,,500.0,,229.72972972972974,
2025,130,Berth,498900.0,250068.0,13874.59,,,,,
2025,130,Intra,1017852.422,250068.0,0.0,,600.0,,,211.05527638190955
2025,130,Inter,508926.211,62517.0,0.0,,300.0,,,105.52763819095478
2025,130,Berth,291025.0,145873.0,5713.07,,,,,
2025,150,Intra,8417180.07,3483592.68,395081.29,5743.90243902439,1500.0,,,
2025,150,Inter,4119518.918,870311.71,98115.02,2819.512195121951,800.0,,,
2025,150,Berth,831500.0,480900.0,57130.67,,,,,
2025,150,Intra,2637663.333,577080.0,0.0,0.0,1200.0,1008.3333333333334,,
2025,150,Inter,1318831.667,144270.0,0.0,0.0,600.0,504.1666666666667,,
2025,150,Berth,582050.0,336630.0,24484.57,,,,,
2025,150,Intra,1399826.053,503197.3,15561.19,,1000.0,,54.054054054054056,
2025,150,Inter,961625.676,167606.76,0.0,,500.0,,229.72972972972974,
2025,150,Berth,498900.0,288540.0,13874.59,,,,,
2025,150,Intra,1056324.422,288540.0,0.0,,600.0,,,211.05527638190955
2025,150,Inter,528162.211,72135.0,0.0,,300.0,,,105.52763819095478
2025,150,Berth,291025.0,168315.0,5713.07,,,,,
2025,170,Intra,8881659.094,3948071.71,395081.29,5743.90243902439,1500.0,,,
2025,170,Inter,4351602.04,986353.27,98115.02,2819.512195121951,800.0,,,
2025,170,Berth,831500.0,545020.0,57130.67,,,,,
2025,170,Intra,2714607.333,654024.0,0.0,0.0,1200.0,1008.3333333333334,,
2025,170,Inter,1357303.667,163506.0,0.0,0.0,600.0,504.1666666666667,,
2025,170,Berth,582050.0,381514.0,24484.57,,,,,
2025,170,Intra,1466919.026,570290.27,15561.19,,1000.0,,54.054054054054056,
2025,170,Inter,1006320.811,189954.32,0.0,,500.0,,229.72972972972974,
2025,170,Berth,498900.0,327012.0,13874.59,,,,,
2025,170,Intra,1094796.422,327012.0,0.0,,600.0,,,211.05527638190955
2025,170,Inter,547398.211,81753.0,0.0,,300.0,,,105.52763819095478
2025,170,Berth,291025.0,190757.0,5713.07,,,,,
2025,190,Intra,9346138.119,4412550.73,395081.29,5743.90243902439,1500.0,,,
2025,190,Inter,4583685.162,1102394.83,98115.02,2819.512195121951,800.0,,,
2025,190,Berth,831500.0,609140.0,57130.67,,,,,
2025,190,Intra,2791551.333,730968.0,0.0,0.0,1200.0,1008.3333333333334,,
2025,190,Inter,1395775.667,182742.0,0.0,0.0,600.0,504.1666666666667,,
2025,190,Berth,582050.0,426398.0,24484.57,,,,,
2025,190,Intra,1534011.999,637383.24,15561.19,,1000.0,,54.054054054054056,
2025,190,Inter,1051015.946,212301.89,0.0,,500.0,,229.72972972972974,
2025,190,Berth,498900.0,365484.0,13874.59,,,,,
2025,190,Intra,1133268.422,365484.0,0.0,,600.0,,,211.05527638190955
2025,190,Inter,566634.211,91371.0,0.0,,300.0,,,105.52763819095478
2025,190,Berth,291025.0,213199.0,5713.07,,,,,
2030,90,Intra,7305086.867,2090155.61,1095730.04,5743.90243902439,1500.0,,,
2030,90,Inter,3392634.096,522187.02,273303.95,2819.512195121951,800.0,,,
